,sum,combo
499,102.0,"['平均気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
912,102.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
510,104.0,"['平均気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
255,104.0,"['平均気温', '平均風速', '平均蒸気圧', '平均湿度']"
880,105.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
463,109.0,"['平均気温', '最低気温', '日照時間', '平均蒸気圧', '平均湿度']"
258,109.0,"['平均気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
702,111.0,"['平均気温', '最高気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
876,113.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
998,115.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
720,120.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
902,122.0,"['平均気温', '最高気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
706,124.0,"['平均気温', '最高気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
988,124.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
995,127.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
437,127.0,"['平均気温', '最高気温', '平均風速', '平均蒸気圧', '平均湿度']"
982,129.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
730,129.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
745,132.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
453,133.0,"['平均気温', '最低気温', '降水量', '平均蒸気圧', '平均湿度']"
985,135.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
873,135.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
1020,136.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
88,137.0,"['平均気温', '平均蒸気圧', '平均湿度']"
483,138.0,"['平均気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
888,139.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
909,141.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
1019,141.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
986,142.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1018,143.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
752,143.0,"['平均気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
913,144.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
1000,145.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
252,147.0,"['平均気温', '降雪量', '平均蒸気圧', '平均湿度']"
999,148.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
891,148.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
200,151.0,"['平均気温', '最高気温', '平均蒸気圧', '平均湿度']"
895,151.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
755,151.0,"['平均気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
403,153.0,"['平均気温', '最高気温', '最低気温', '平均蒸気圧', '平均湿度']"
917,153.0,"['平均気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
991,154.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
495,155.0,"['平均気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
691,155.0,"['平均気温', '最高気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
428,157.0,"['平均気温', '最高気温', '日照時間', '平均蒸気圧', '平均湿度']"
906,158.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
723,160.0,"['平均気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
492,160.0,"['平均気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
992,161.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
714,162.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
980,164.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
929,166.0,"['平均気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
987,166.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
881,169.0,"['平均気温', '最高気温', '最低気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
434,172.0,"['平均気温', '最高気温', '降雪量', '平均蒸気圧', '平均湿度']"
236,173.0,"['平均気温', '降水量', '平均蒸気圧', '平均湿度']"
1015,174.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
866,174.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
668,175.0,"['平均気温', '最高気温', '最低気温', '平均風速', '平均蒸気圧', '平均湿度']"
976,176.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
877,176.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
665,180.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均蒸気圧', '平均湿度']"
1012,180.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
1022,181.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
695,183.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
489,184.0,"['平均気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
756,185.0,"['平均気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
993,185.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
892,185.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
659,187.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均蒸気圧', '平均湿度']"
418,195.0,"['平均気温', '最高気温', '降水量', '平均蒸気圧', '平均湿度']"
1016,198.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
870,200.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
688,201.0,"['平均気温', '最高気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
896,205.0,"['平均気温', '最高気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
973,207.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
685,207.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
1017,208.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
860,209.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
649,210.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均蒸気圧', '平均湿度']"
679,212.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
977,214.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
885,215.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
970,217.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
854,225.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
981,225.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
863,233.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
545,258.0,"['最高気温', '最低気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
792,260.0,"['最高気温', '最低気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
796,265.0,"['最高気温', '最低気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
949,269.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
277,270.0,"['最高気温', '最低気温', '平均蒸気圧', '平均湿度']"
533,271.0,"['最高気温', '最低気温', '日照時間', '平均蒸気圧', '平均湿度']"
786,277.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
539,278.0,"['最高気温', '最低気温', '降雪量', '平均蒸気圧', '平均湿度']"
940,279.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
789,280.0,"['最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
950,281.0,"['最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1006,283.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
946,284.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
782,285.0,"['最高気温', '最低気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1009,286.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
944,286.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
770,289.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
934,289.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
797,292.0,"['最高気温', '最低気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
523,292.0,"['最高気温', '最低気温', '降水量', '平均蒸気圧', '平均湿度']"
951,294.0,"['最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
542,294.0,"['最高気温', '最低気温', '平均風速', '平均蒸気圧', '平均湿度']"
776,294.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
1021,299.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1003,299.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
793,299.0,"['最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
1007,305.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
937,306.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
1008,311.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
945,311.0,"['最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
779,311.0,"['最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
941,313.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
813,323.0,"['最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
838,325.0,"['最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
572,329.0,"['最高気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
958,331.0,"['最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
963,333.0,"['最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
817,334.0,"['最高気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
965,336.0,"['最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
952,338.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
804,338.0,"['最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
610,339.0,"['最低気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1011,343.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
837,348.0,"['最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
615,349.0,"['最低気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
337,352.0,"['最低気温', '日照時間', '平均蒸気圧', '平均湿度']"
956,353.0,"['最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
607,354.0,"['最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
828,356.0,"['最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1010,356.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
604,361.0,"['最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
833,362.0,"['最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
825,364.0,"['最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
839,367.0,"['最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
834,369.0,"['最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
588,369.0,"['最低気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
962,370.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
349,371.0,"['最低気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
575,376.0,"['最高気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
959,378.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
822,381.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
816,383.0,"['最高気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
964,386.0,"['最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
614,388.0,"['最低気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
137,393.0,"['最低気温', '平均蒸気圧', '平均湿度']"
910,394.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
749,394.0,"['平均気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
302,399.0,"['最高気温', '日照時間', '平均蒸気圧', '平均湿度']"
600,399.0,"['最低気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
484,402.0,"['平均気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
346,404.0,"['最低気温', '平均風速', '平均蒸気圧', '平均湿度']"
807,405.0,"['最高気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
569,405.0,"['最高気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
955,408.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
226,412.0,"['平均気温', '降水量', '日照時間', '平均蒸気圧']"
343,414.0,"['最低気温', '降雪量', '平均蒸気圧', '平均湿度']"
832,415.0,"['最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
889,416.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
597,419.0,"['最低気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
925,421.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
801,422.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
996,422.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
553,423.0,"['最高気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度']"
746,427.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
327,427.0,"['最低気温', '降水量', '平均蒸気圧', '平均湿度']"
611,428.0,"['最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
715,430.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
974,430.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
680,432.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
480,433.0,"['平均気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
829,437.0,"['最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
594,439.0,"['最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
503,443.0,"['平均気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
711,443.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
247,445.0,"['平均気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
989,446.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
477,446.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
443,451.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均蒸気圧']"
938,453.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
734,454.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
408,455.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均蒸気圧']"
1013,461.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
742,463.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
907,464.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
676,467.0,"['平均気温', '最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
886,469.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
78,470.0,"['平均気温', '日照時間', '平均蒸気圧']"
855,472.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
699,475.0,"['平均気温', '最高気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
464,476.0,"['平均気温', '最低気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
429,478.0,"['平均気温', '最高気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
903,479.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
708,482.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
500,482.0,"['平均気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
851,485.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
758,485.0,"['平均気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
673,489.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
639,491.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧']"
874,494.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
1004,495.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
919,496.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
243,497.0,"['平均気温', '日照時間', '平均風速', '平均蒸気圧']"
211,499.0,"['平均気温', '最低気温', '日照時間', '平均蒸気圧']"
882,500.0,"['平均気温', '最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
190,504.0,"['平均気温', '最高気温', '日照時間', '平均蒸気圧']"
240,506.0,"['平均気温', '日照時間', '降雪量', '平均蒸気圧']"
660,506.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
731,508.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
971,508.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
696,510.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
898,514.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
767,515.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
967,518.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
460,519.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧']"
848,522.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
790,523.0,"['最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
513,529.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧']"
983,530.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
